Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Variant Image,Variant Weight Unit,Status,Collection
retroscaler2x-av-to-hdmi-converter-line-doubler-retro-game-consoles-ps2-n64-nes,RetroScaler2x AV to HDMI Converter Line-Doubler Retro Game Consoles PS2 N64 NES,"<h2>RetroScaler2x AV to HDMI Converter Line-Doubler Retro Game Consoles PS2 N64 NES</h2>
<table><tbody><tr><td><strong>Condition</strong></td><td>New</td></tr><tr><td><strong>Category</strong></td><td>Cables & Adapters</td></tr><tr><td><strong>UPC</strong></td><td>4712280486547</td></tr></tbody></table>
<p><small>eBay: <a href=""https://www.ebay.com/itm/146429127103"">#146429127103</a></small></p>",Collectiblethang,General,Miscellaneous,"condition:new, ebay-cat:cables-adapters, currency:cad, ebay:146429127103",TRUE,Title,Default Title,EBAY-146429127103,0,shopify,4,deny,manual,100.00,,TRUE,TRUE,https://i.ebayimg.com/images/g/fs8AAeSwx0Vnx3Xu/s-l1600.jpg,1,RetroScaler2x AV to HDMI Converter Line-Doubler Retro Game Consoles PS2 N64 NES,FALSE,RetroScaler2x AV to HDMI Converter Line-Doubler Retro Game Consoles PS,"RetroScaler2x AV to HDMI Converter Line-Doubler Retro Game Consoles PS2 N64 NES
ConditionNewCategoryCables & AdaptersUPC4712280486547
eBay: #146429127103",Arts & Entertainment,,kg,active,Miscellaneous
retroscaler2x-av-to-hdmi-converter-line-doubler-retro-game-consoles-ps2-n64-nes,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/4GgAAeSwq0xnx3X2/s-l1600.jpg,2,RetroScaler2x AV to HDMI Converter Line-Doubler Retro Game Consoles PS2 N64 NES - Image 2,,,,,,,,
retroscaler2x-av-to-hdmi-converter-line-doubler-retro-game-consoles-ps2-n64-nes,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/QdwAAeSwcuZnx3X-/s-l1600.jpg,3,RetroScaler2x AV to HDMI Converter Line-Doubler Retro Game Consoles PS2 N64 NES - Image 3,,,,,,,,
retroscaler2x-av-to-hdmi-converter-line-doubler-retro-game-consoles-ps2-n64-nes,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/ynAAAeSwq51nx3YK/s-l1600.jpg,4,RetroScaler2x AV to HDMI Converter Line-Doubler Retro Game Consoles PS2 N64 NES - Image 4,,,,,,,,
retroscaler2x-av-to-hdmi-converter-line-doubler-retro-game-consoles-ps2-n64-nes,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/BsIAAeSwBadnx3YU/s-l1600.jpg,5,RetroScaler2x AV to HDMI Converter Line-Doubler Retro Game Consoles PS2 N64 NES - Image 5,,,,,,,,
assasins-creed-shadows-limited-edition-playstation-5-ubisoft-new-and-sealed,Assasins Creed Shadows Limited Edition PlayStation 5 Ubisoft New And Sealed,"<h2>Assasins Creed Shadows Limited Edition PlayStation 5 Ubisoft New And Sealed</h2>
<table><tbody><tr><td><strong>Condition</strong></td><td>Brand New</td></tr><tr><td><strong>Category</strong></td><td>Video Games</td></tr></tbody></table>
<p><small>eBay: <a href=""https://www.ebay.com/itm/146468444325"">#146468444325</a></small></p>",Collectiblethang,Video Games,Video Games,"condition:new, ebay-cat:video-games, currency:cad, ebay:146468444325",TRUE,Title,Default Title,EBAY-146468444325,0,shopify,20,deny,manual,99.99,,TRUE,TRUE,https://i.ebayimg.com/images/g/s4YAAeSwYohn30Zk/s-l1600.jpg,1,Assasins Creed Shadows Limited Edition PlayStation 5 Ubisoft New And Sealed,FALSE,Assasins Creed Shadows Limited Edition PlayStation 5 Ubisoft New And S,"Assasins Creed Shadows Limited Edition PlayStation 5 Ubisoft New And Sealed
ConditionBrand NewCategoryVideo Games
eBay: #146468444325",Electronics > Video Games & Consoles,,kg,active,Video Games
assasins-creed-shadows-limited-edition-playstation-5-ubisoft-new-and-sealed,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/tnsAAeSwc-1n30Zx/s-l1600.jpg,2,Assasins Creed Shadows Limited Edition PlayStation 5 Ubisoft New And Sealed - Image 2,,,,,,,,
assasins-creed-shadows-limited-edition-playstation-5-ubisoft-new-and-sealed,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/-s4AAeSwxM9n30Z8/s-l1600.jpg,3,Assasins Creed Shadows Limited Edition PlayStation 5 Ubisoft New And Sealed - Image 3,,,,,,,,
assasins-creed-shadows-limited-edition-playstation-5-ubisoft-new-and-sealed,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/5rUAAeSwIIZn30aE/s-l1600.jpg,4,Assasins Creed Shadows Limited Edition PlayStation 5 Ubisoft New And Sealed - Image 4,,,,,,,,
assasins-creed-shadows-limited-edition-playstation-5-ubisoft-new-and-sealed,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/jn8AAeSwN4Zn30aL/s-l1600.jpg,5,Assasins Creed Shadows Limited Edition PlayStation 5 Ubisoft New And Sealed - Image 5,,,,,,,,
mcfarlane-dc-direct-superman-kingdom-come-page-punchers-7-action-figure-shipnow,McFarlane DC Direct SUPERMAN Kingdom Come Page Punchers 7” Action Figure Shipnow,"<h2>McFarlane DC Direct SUPERMAN Kingdom Come Page Punchers 7” Action Figure Shipnow</h2>
<table><tbody><tr><td><strong>Condition</strong></td><td>New</td></tr><tr><td><strong>Category</strong></td><td>Action Figures</td></tr></tbody></table>
<p><small>eBay: <a href=""https://www.ebay.com/itm/146484376799"">#146484376799</a></small></p>",Collectiblethang,Toys & Collectibles,Action Figures,"condition:new, ebay-cat:action-figures, currency:cad, ebay:146484376799",TRUE,Title,Default Title,EBAY-146484376799,0,shopify,10,deny,manual,81.00,,TRUE,TRUE,https://i.ebayimg.com/images/g/QF8AAOSwf-tn6Xo2/s-l1600.jpg,1,McFarlane DC Direct SUPERMAN Kingdom Come Page Punchers 7” Action Figure Shipnow,FALSE,McFarlane DC Direct SUPERMAN Kingdom Come Page Punchers 7” Action Figu,"McFarlane DC Direct SUPERMAN Kingdom Come Page Punchers 7” Action Figure Shipnow
ConditionNewCategoryAction Figures
eBay: #146484376799",Toys & Games > Toys > Action Figures,,kg,active,Action Figures
mcfarlane-dc-direct-superman-kingdom-come-page-punchers-7-action-figure-shipnow,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/TMYAAOSw4kBn6Xo2/s-l1600.jpg,2,McFarlane DC Direct SUPERMAN Kingdom Come Page Punchers 7” Action Figure Shipnow - Image 2,,,,,,,,
mcfarlane-dc-direct-superman-kingdom-come-page-punchers-7-action-figure-shipnow,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/t5EAAOSw~Jhn6Xo4/s-l1600.jpg,3,McFarlane DC Direct SUPERMAN Kingdom Come Page Punchers 7” Action Figure Shipnow - Image 3,,,,,,,,
hasbro-fortnite-victory-royale-jules-ohm-deluxe-collectible-action-figure,Hasbro FORTNITE Victory Royale  Jules & OHM Deluxe Collectible Action Figure,"<h2>Hasbro FORTNITE Victory Royale  Jules & OHM Deluxe Collectible Action Figure</h2>
<table><tbody><tr><td><strong>Condition</strong></td><td>New</td></tr><tr><td><strong>Category</strong></td><td>Action Figures</td></tr></tbody></table>
<p><small>eBay: <a href=""https://www.ebay.com/itm/146523281067"">#146523281067</a></small></p>",Collectiblethang,Toys & Collectibles,Action Figures,"condition:new, ebay-cat:action-figures, currency:cad, ebay:146523281067",TRUE,Title,Default Title,EBAY-146523281067,0,shopify,1,deny,manual,41.00,,TRUE,TRUE,https://i.ebayimg.com/images/g/SZgAAeSwjC9oAAvW/s-l1600.jpg,1,Hasbro FORTNITE Victory Royale  Jules & OHM Deluxe Collectible Action Figure,FALSE,Hasbro FORTNITE Victory Royale  Jules & OHM Deluxe Collectible Action ,"Hasbro FORTNITE Victory Royale  Jules & OHM Deluxe Collectible Action Figure
ConditionNewCategoryAction Figures
eBay: #146523281067",Toys & Games > Toys > Action Figures,,kg,active,Action Figures
hasbro-fortnite-victory-royale-jules-ohm-deluxe-collectible-action-figure,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/Z6AAAeSw1eRoAAvi/s-l1600.jpg,2,Hasbro FORTNITE Victory Royale  Jules & OHM Deluxe Collectible Action Figure - Image 2,,,,,,,,
hasbro-fortnite-victory-royale-jules-ohm-deluxe-collectible-action-figure,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/T~UAAeSw2RpoAAvt/s-l1600.jpg,3,Hasbro FORTNITE Victory Royale  Jules & OHM Deluxe Collectible Action Figure - Image 3,,,,,,,,
hasbro-fortnite-victory-royale-jules-ohm-deluxe-collectible-action-figure,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/RnoAAeSwTBBoAAv3/s-l1600.jpg,4,Hasbro FORTNITE Victory Royale  Jules & OHM Deluxe Collectible Action Figure - Image 4,,,,,,,,
